
===============================================================
  LISTADO DE PROPIEDADES DE HUBSPOT
===============================================================


===============================================================
  CONTACTOS (Clientes/Usuarios)
===============================================================

Total propiedades: 482
  - Propiedades por defecto: 482
  - Propiedades custom: 0

PROPIEDADES POR DEFECTO:
------------------------------------------------
NOMBRE INTERNO (API)                     | ETIQUETA (LABEL)                         | TIPO            | GRUPO
hs_additional_emails                     | Additional email addresses               | enumeration     | contactinformation
hs_all_accessible_team_ids               | All teams                                | enumeration     | contactinformation
hs_all_assigned_business_unit_ids        | Brands                                   | enumeration     | contactinformation
hs_all_contact_vids                      | All vids for a contact                   | enumeration     | contactinformation
hs_all_owner_ids                         | All owner IDs                            | enumeration     | contactinformation
hs_all_team_ids                          | All team IDs                             | enumeration     | contactinformation
hs_analytics_average_page_views          | Average Pageviews                        | number          | analyticsinformation
hs_analytics_first_referrer              | First Referring Site                     | string          | analyticsinformation
hs_analytics_first_timestamp             | Time First Seen                          | datetime        | analyticsinformation
hs_analytics_first_touch_converting_camp | First Touch Converting Campaign          | string          | analyticsinformation
hs_analytics_first_url                   | First Page Seen                          | string          | analyticsinformation
hs_analytics_first_visit_timestamp       | Time of First Session                    | datetime        | analyticsinformation
hs_analytics_last_referrer               | Last Referring Site                      | string          | analyticsinformation
hs_analytics_last_timestamp              | Time Last Seen                           | datetime        | analyticsinformation
hs_analytics_last_touch_converting_campa | Last Touch Converting Campaign           | string          | analyticsinformation
hs_analytics_last_url                    | Last Page Seen                           | string          | analyticsinformation
hs_analytics_last_visit_timestamp        | Time of Last Session                     | datetime        | analyticsinformation
hs_analytics_num_event_completions       | Number of event completions              | number          | analyticsinformation
hs_analytics_num_page_views              | Number of Pageviews                      | number          | analyticsinformation
hs_analytics_num_visits                  | Number of Sessions                       | number          | analyticsinformation
hs_analytics_revenue                     | Event Revenue                            | number          | analyticsinformation
hs_analytics_source                      | Original Traffic Source                  | enumeration     | analyticsinformation
hs_analytics_source_data_1               | Original Traffic Source Drill-Down 1     | string          | analyticsinformation
hs_analytics_source_data_2               | Original Traffic Source Drill-Down 2     | string          | analyticsinformation
hs_associated_target_accounts            | Associated Target Accounts               | number          | contactinformation
hs_avatar_filemanager_key                | Avatar FileManager key                   | string          | contactinformation
hs_buying_role                           | Buying Role                              | enumeration     | deal_information
hs_calculated_form_submissions           | The 800 most recent form submissions for | enumeration     | contactinformation
hs_calculated_merged_vids                | Merged vids with timestamps of a contact | enumeration     | contactinformation
hs_calculated_mobile_number              | Calculated Mobile Number in Internationa | string          | contactinformation
hs_calculated_phone_number               | Calculated Phone Number in International | string          | contactinformation
hs_calculated_phone_number_area_code     | Calculated Phone Number Area Code        | string          | contactinformation
hs_calculated_phone_number_country_code  | Calculated Phone Number Country Code     | string          | contactinformation
hs_calculated_phone_number_region_code   | Calculated Phone Number Region           | string          | contactinformation
hs_clicked_linkedin_ad                   | Clicked on a LinkedIn Ad                 | enumeration     | conversioninformation
hs_contact_creation_legal_basis_source_i | Contact creation legal basis source inst | string          | contactinformation
hs_contact_enrichment_opt_out            | Enrichment opt out                       | bool            | contactinformation
hs_contact_enrichment_opt_out_timestamp  | Enrichment opt out timestamp             | datetime        | contactinformation
hs_content_membership_email              | Member email                             | string          | contactinformation
hs_content_membership_email_confirmed    | Email Confirmed                          | bool            | contactinformation
hs_content_membership_follow_up_enqueued | Time enrolled in registration follow up  | datetime        | contactinformation
hs_content_membership_notes              | Membership Notes                         | string          | contact_activity
hs_content_membership_registered_at      | Registered At                            | datetime        | contactinformation
hs_content_membership_registration_domai | Domain to which registration email was s | string          | contactinformation
hs_content_membership_registration_email | Time registration email was sent         | datetime        | contactinformation
hs_content_membership_status             | Status                                   | enumeration     | contact_activity
hs_conversations_visitor_email           | Conversations visitor email              | string          | contactinformation
hs_count_is_unworked                     | Count of unengaged contacts              | number          | contactinformation
hs_count_is_worked                       | Count of engaged contacts                | number          | contactinformation
hs_country_region_code                   | Country/Region Code                      | string          | contactinformation
hs_created_by_conversations              | Created By Conversations                 | bool            | contactinformation
hs_created_by_user_id                    | Created by user ID                       | number          | contactinformation
hs_createdate                            | Object create date/time                  | datetime        | contactinformation
hs_cross_sell_opportunity                | Cross-sell Opportunity                   | bool            | multiaccountmanagement
hs_currently_enrolled_in_prospecting_age | Currently Enrolled in Prospecting Agent  | bool            | contactinformation
hs_customer_agent_lead_status            | Customer Agent Lead Status               | enumeration     | contactinformation
hs_data_privacy_ads_consent              | Ads Consent from Forms                   | bool            | contactinformation
hs_date_entered_122340279                | Date entered 'Otros (Pipeline de etapa d | datetime        | contact_activity
hs_date_entered_139767057                | Date entered 'Promotor inmobiliario (Pip | datetime        | contact_activity
hs_date_entered_70679883                 | Date entered 'Lead de ventas (Pipeline d | datetime        | contact_activity
hs_date_entered_70680909                 | Date entered 'Prospecto (Pipeline de eta | datetime        | contact_activity
hs_date_entered_70680910                 | Date entered 'Lead (Pipeline de etapa de | datetime        | contact_activity
hs_date_entered_70713679                 | Date entered 'Lead calificado (Pipeline  | datetime        | contact_activity
hs_date_entered_81340338                 | Date entered 'Clientes (Pipeline de etap | datetime        | contact_activity
hs_date_exited_122340279                 | Date exited 'Otros (Pipeline de etapa de | datetime        | contact_activity
hs_date_exited_139767057                 | Date exited 'Promotor inmobiliario (Pipe | datetime        | contact_activity
hs_date_exited_70679883                  | Date exited 'Lead de ventas (Pipeline de | datetime        | contact_activity
hs_date_exited_70680909                  | Date exited 'Prospecto (Pipeline de etap | datetime        | contact_activity
hs_date_exited_70680910                  | Date exited 'Lead (Pipeline de etapa del | datetime        | contact_activity
hs_date_exited_70713679                  | Date exited 'Lead calificado (Pipeline d | datetime        | contact_activity
hs_date_exited_81340338                  | Date exited 'Clientes (Pipeline de etapa | datetime        | contact_activity
hs_document_last_revisited               | Recent Document Revisit Date             | datetime        | contactinformation
hs_email_bad_address                     | Invalid email address                    | bool            | emailinformation
hs_email_bounce                          | Marketing emails bounced                 | number          | emailinformation
hs_email_click                           | Marketing emails clicked                 | number          | emailinformation
hs_email_customer_quarantined_reason     | Email address quarantine reason          | enumeration     | emailinformation
hs_email_delivered                       | Marketing emails delivered               | number          | emailinformation
hs_email_domain                          | Email Domain                             | string          | contactinformation
hs_email_first_click_date                | First marketing email click date         | datetime        | emailinformation
hs_email_first_open_date                 | First marketing email open date          | datetime        | emailinformation
hs_email_first_reply_date                | First marketing email reply date         | datetime        | emailinformation
hs_email_first_send_date                 | First marketing email send date          | datetime        | emailinformation
hs_email_hard_bounce_reason              | Email hard bounce reason                 | string          | emailinformation
hs_email_hard_bounce_reason_enum         | Email hard bounce reason                 | enumeration     | emailinformation
hs_email_is_ineligible                   | Is globally ineligible                   | bool            | emailinformation
hs_email_last_click_date                 | Last marketing email click date          | datetime        | emailinformation
hs_email_last_email_name                 | Last marketing email name                | string          | emailinformation
hs_email_last_open_date                  | Last marketing email open date           | datetime        | emailinformation
hs_email_last_reply_date                 | Last marketing email reply date          | datetime        | emailinformation
hs_email_last_send_date                  | Last marketing email send date           | datetime        | emailinformation
hs_email_open                            | Marketing emails opened                  | number          | emailinformation
hs_email_optimal_send_day_of_week        | Optimal Marketing Email Send Day of Week | string          | emailinformation
hs_email_optimal_send_time_of_day        | Optimal Marketing Email Send Time of Day | string          | emailinformation
hs_email_optout                          | Unsubscribed from all email              | bool            | emailinformation
hs_email_optout_46692950                 | Opted out of email: Marketing Informatio | enumeration     | emailinformation
hs_email_optout_57129529                 | Opted out of email: One to One           | enumeration     | emailinformation
hs_email_optout_691664593                | Opted out of email: blog Subscription (E | enumeration     | emailinformation
hs_email_quarantined                     | Email Address Quarantined                | bool            | emailinformation
hs_email_quarantined_reason              | Email address automated quarantine reaso | enumeration     | emailinformation
hs_email_recipient_fatigue_recovery_time | Email Address Recipient Fatigue Next Ava | datetime        | emailinformation
hs_email_replied                         | Marketing emails replied                 | number          | emailinformation
hs_email_sends_since_last_engagement     | Sends Since Last Engagement              | number          | emailinformation
hs_emailconfirmationstatus               | Marketing email confirmation status      | enumeration     | emailinformation
hs_employment_change_detected_date       | Employment change detected date          | date            | emailinformation
hs_enriched_email_bounce_detected        | Enriched Email Bounce Detected (Deprecat | bool            | emailinformation
hs_facebook_ad_clicked                   | Clicked Facebook ad                      | bool            | conversioninformation
hs_facebook_click_id                     | Facebook click id                        | string          | conversioninformation
hs_facebookid                            | Facebook ID                              | string          | socialmediainformation
hs_feedback_last_ces_survey_date         | Last CES survey date                     | datetime        | contact_activity
hs_feedback_last_ces_survey_follow_up    | Last CES survey comment                  | string          | contact_activity
hs_feedback_last_ces_survey_rating       | Last CES survey rating                   | number          | contact_activity
hs_feedback_last_csat_survey_date        | Last CSAT survey date                    | datetime        | contactinformation
hs_feedback_last_csat_survey_follow_up   | Last CSAT survey comment                 | string          | contactinformation
hs_feedback_last_csat_survey_rating      | Last CSAT survey rating                  | number          | contactinformation
hs_feedback_last_nps_follow_up           | Last NPS survey comment                  | string          | contact_activity
hs_feedback_last_nps_rating              | Last NPS survey rating                   | enumeration     | contact_activity
hs_feedback_last_nps_rating_number       | Latest NPS survey rating                 | number          | contactinformation
hs_feedback_last_survey_date             | Last NPS survey date                     | datetime        | contact_activity
hs_feedback_show_nps_web_survey          | Should be shown an NPS web survey        | bool            | contactinformation
hs_first_closed_order_id                 | First Closed Order ID                    | number          | order_information
hs_first_engagement_object_id            | ID of first engagement                   | number          | contactinformation
hs_first_order_closed_date               | First Order Closed Date                  | datetime        | order_information
hs_first_outreach_date                   | First outreach date                      | datetime        | contactinformation
hs_first_subscription_create_date        | First subscription create date           | datetime        | contactinformation
hs_full_name_or_email                    | Full name or email                       | string          | contactinformation
hs_google_click_id                       | Google ad click id                       | string          | conversioninformation
hs_googleplusid                          | googleplus ID                            | string          | socialmediainformation
hs_gps_error                             | GPS Error                                | string          | contactinformation
hs_gps_latitude                          | Latitudes                                | string          | contactinformation
hs_gps_longitude                         | Longitudes                               | string          | contactinformation
hs_has_active_subscription               | Contact has an active subscription       | number          | contactinformation
hs_inferred_language_codes               | Inferred Language Codes                  | enumeration     | contactinformation
hs_intent_paid_up_to_date                | Intent paid up to date                   | date            | contactinformation
hs_intent_signals_enabled                | Intent Signals active                    | bool            | contactinformation
hs_ip_timezone                           | IP Timezone                              | string          | conversioninformation
hs_is_contact                            | Is a contact                             | bool            | contactinformation
hs_is_enriched                           | Has been enriched                        | bool            | contactinformation
hs_is_merge_revertible                   | Is Merge Revertible                      | bool            | contactinformation
hs_is_unworked                           | Contact unworked                         | bool            | sales_properties
hs_job_change_detected_date              | Job change detected date                 | date            | emailinformation
hs_journey_stage                         | Journey Stage                            | enumeration     | contactinformation
hs_language                              | Preferred language                       | enumeration     | contactinformation
hs_last_metered_enrichment_timestamp     | Last Metered Enrichment Timestamp        | datetime        | contactinformation
hs_last_sales_activity_date              | last sales activity date old             | datetime        | contactinformation
hs_last_sales_activity_timestamp         | Last Engagement Date                     | datetime        | contact_activity
hs_last_sales_activity_type              | Last Engagement Type                     | enumeration     | contactinformation
hs_last_sms_send_date                    | Last Sms Send Date                       | datetime        | smsinformation
hs_last_sms_send_name                    | Last SMS Send Name                       | string          | smsinformation
hs_lastmodifieddate                      | Object last modified date/time           | datetime        | contactinformation
hs_latest_disqualified_lead_date         | Latest Disqualified Lead Date            | datetime        | contactinformation
hs_latest_meeting_activity               | Latest meeting activity                  | datetime        | contactinformation
hs_latest_open_lead_date                 | Latest Open Lead Date                    | datetime        | contactinformation
hs_latest_qualified_lead_date            | Latest Qualified Lead Date               | datetime        | contactinformation
hs_latest_sequence_ended_date            | Last sequence ended date                 | datetime        | contactinformation
hs_latest_sequence_enrolled              | Last sequence enrolled                   | number          | contactinformation
hs_latest_sequence_enrolled_date         | Last sequence enrolled date              | datetime        | contactinformation
hs_latest_sequence_finished_date         | Last sequence finished date              | datetime        | contactinformation
hs_latest_sequence_unenrolled_date       | Last sequence unenrolled date            | datetime        | contactinformation
hs_latest_source                         | Latest Traffic Source                    | enumeration     | analyticsinformation
hs_latest_source_data_1                  | Latest Traffic Source Drill-Down 1       | string          | analyticsinformation
hs_latest_source_data_2                  | Latest Traffic Source Drill-Down 2       | string          | analyticsinformation
hs_latest_source_timestamp               | Latest Traffic Source Date               | datetime        | analyticsinformation
hs_latest_subscription_create_date       | Latest subscription create date          | datetime        | contactinformation
hs_latitude                              | Latitude                                 | number          | contactinformation
hs_lead_status                           | Lead Status                              | enumeration     | sales_properties
hs_legal_basis                           | Legal basis for processing contact's dat | enumeration     | emailinformation
hs_linkedin_ad_clicked                   | Clicked LinkedIn Ad                      | enumeration     | conversioninformation
hs_linkedin_url                          | LinkedIn URL                             | string          | socialmediainformation
hs_linkedinid                            | Linkedin ID                              | string          | socialmediainformation
hs_live_enrichment_deadline              | Live enrichment deadline                 | datetime        | contactinformation
hs_longitude                             | Longitude                                | number          | contactinformation
hs_manual_campaign_ids                   | Manual campaign ids                      | number          | contactinformation
hs_marketable_reason_id                  | Marketing contact status source name     | string          | contactinformation
hs_marketable_reason_type                | Marketing contact status source type     | enumeration     | contactinformation
hs_marketable_status                     | Marketing contact status                 | enumeration     | contactinformation
hs_marketable_until_renewal              | Marketing contact until next update      | enumeration     | contactinformation
hs_membership_has_accessed_private_conte | Member has accessed private content      | number          | contactscripted
hs_membership_last_private_content_acces | Membership last private content access d | datetime        | contactinformation
hs_merged_object_ids                     | Merged Contact IDs                       | enumeration     | contactinformation
hs_messaging_engagement_score            | messaging_engagement_score               | number          | emailinformation
hs_mobile_sdk_push_tokens                | Mobile Sdk Push Tokens                   | string          | contactinformation
hs_notes_last_activity                   | Last Activity                            | object_coordina | contactinformation
hs_notes_next_activity                   | Next Activity                            | object_coordina | contactinformation
hs_notes_next_activity_type              | Next Activity Type                       | enumeration     | contactinformation
hs_object_id                             | Record ID                                | number          | contactinformation
hs_object_source                         | Record creation source                   | string          | contactinformation
hs_object_source_detail_1                | Record source detail 1                   | string          | contactinformation
hs_object_source_detail_2                | Record source detail 2                   | string          | contactinformation
hs_object_source_detail_3                | Record source detail 3                   | string          | contactinformation
hs_object_source_id                      | Record creation source ID                | string          | contactinformation
hs_object_source_label                   | Record source                            | enumeration     | contactinformation
hs_object_source_user_id                 | Record creation source user ID           | number          | contactinformation
hs_owning_teams                          | Owning Teams                             | enumeration     | contactinformation
hs_persona                               | Persona                                  | enumeration     | contactinformation
hs_pinned_engagement_id                  | Pinned engagement ID                     | number          | contactinformation
hs_pipeline                              | Pipeline                                 | enumeration     | contactinformation
hs_predictivecontactscore                | Predictive Lead Score                    | number          | contact_activity
hs_predictivecontactscore_v2             | Likelihood to close                      | number          | contact_activity
hs_predictivecontactscorebucket          | Lead Rating                              | enumeration     | contact_activity
hs_predictivescoringtier                 | Contact priority                         | enumeration     | contact_activity
hs_prospecting_agent_actively_enrolled_c | Prospecting Agent Actively Enrolled Coun | number          | contactinformation
hs_prospecting_agent_last_enrolled       | Prospecting Agent Last Enrolled          | datetime        | contactinformation
hs_prospecting_agent_total_enrolled_coun | Prospecting Agent Total Enrolled Count   | number          | contactinformation
hs_quarantined_emails                    | Quarantined Emails                       | string          | emailinformation
hs_read_only                             | Read only object                         | bool            | contactinformation
hs_recent_closed_order_date              | Recent Closed Order Date                 | datetime        | order_information
hs_registered_member                     | Registered member                        | number          | contactscripted
hs_registration_method                   | Registration Method                      | string          | contactinformation
hs_returning_to_office_detected_date     | Returning to office detected date        | date            | emailinformation
hs_role                                  | Employment Role                          | enumeration     | contactinformation
hs_sa_first_engagement_date              | Date of first engagement                 | datetime        | contactinformation
hs_sa_first_engagement_descr             | Description of first engagement          | enumeration     | contactinformation
hs_sa_first_engagement_object_type       | Type of first engagement                 | enumeration     | contactinformation
hs_sales_email_last_clicked              | Recent Sales Email Clicked Date          | datetime        | contact_activity
hs_sales_email_last_opened               | Recent Sales Email Opened Date           | datetime        | contact_activity
hs_sales_email_last_replied              | Recent Sales Email Replied Date          | datetime        | contact_activity
hs_searchable_calculated_international_m | Calculated Mobile Number with country co | phone_number    | contactinformation
hs_searchable_calculated_international_p | Calculated Phone Number with country cod | phone_number    | contactinformation
hs_searchable_calculated_mobile_number   | Calculated Mobile Number without country | phone_number    | contactinformation
hs_searchable_calculated_phone_number    | Calculated Phone Number without country  | phone_number    | contactinformation
hs_seniority                             | Employment Seniority                     | enumeration     | contactinformation
hs_sequences_actively_enrolled_count     | Number of sequences actively enrolled    | number          | contactinformation
hs_sequences_enrolled_count              | Number of sequences enrolled             | number          | contactinformation
hs_sequences_is_enrolled                 | Currently in Sequence                    | bool            | contact_activity
hs_shared_team_ids                       | Shared teams                             | enumeration     | contactinformation
hs_shared_user_ids                       | Shared users                             | enumeration     | contactinformation
hs_social_facebook_clicks                | Facebook Clicks                          | number          | socialmediainformation
hs_social_google_plus_clicks             | Google Plus Clicks                       | number          | socialmediainformation
hs_social_last_engagement                | Most Recent Social Click                 | datetime        | socialmediainformation
hs_social_linkedin_clicks                | LinkedIn Clicks                          | number          | socialmediainformation
hs_social_num_broadcast_clicks           | Broadcast Clicks                         | number          | socialmediainformation
hs_social_twitter_clicks                 | Twitter Clicks                           | number          | socialmediainformation
hs_source_object_id                      | Source Object ID                         | number          | contactinformation
hs_source_portal_id                      | Source Portal ID                         | number          | contactinformation
hs_state_code                            | State/Region Code                        | string          | contactinformation
hs_sub_role                              | Employment Sub Role                      | enumeration     | contactinformation
hs_testpurge                             | testpurge                                | string          | contactinformation
hs_testrollback                          | testrollback                             | string          | contactinformation
hs_time_between_contact_creation_and_dea | Time between contact creation and deal c | number          | contactinformation
hs_time_between_contact_creation_and_dea | Time between contact creation and deal c | number          | contactinformation
hs_time_in_122340279                     | Time in 'Otros (Pipeline de etapa del ci | number          | contact_activity
hs_time_in_139767057                     | Time in 'Promotor inmobiliario (Pipeline | number          | contact_activity
hs_time_in_70679883                      | Time in 'Lead de ventas (Pipeline de eta | number          | contact_activity
hs_time_in_70680909                      | Time in 'Prospecto (Pipeline de etapa de | number          | contact_activity
hs_time_in_70680910                      | Time in 'Lead (Pipeline de etapa del cic | number          | contact_activity
hs_time_in_70713679                      | Time in 'Lead calificado (Pipeline de et | number          | contact_activity
hs_time_in_81340338                      | Time in 'Clientes (Pipeline de etapa del | number          | contact_activity
hs_time_to_first_engagement              | Lead response time                       | number          | contactinformation
hs_time_to_move_from_lead_to_customer    | Time to move from lead to customer       | number          | contactinformation
hs_time_to_move_from_marketingqualifiedl | Time to move from marketing qualified le | number          | contactinformation
hs_time_to_move_from_opportunity_to_cust | Time to move from opportunity to custome | number          | contactinformation
hs_time_to_move_from_salesqualifiedlead_ | Time to move from sales qualified lead t | number          | contactinformation
hs_time_to_move_from_subscriber_to_custo | Time to move from subscriber to customer | number          | contactinformation
hs_timezone                              | Time Zone                                | enumeration     | contactinformation
hs_twitterid                             | Twitter ID                               | string          | socialmediainformation
hs_unique_creation_key                   | Unique creation key                      | string          | contactinformation
hs_updated_by_user_id                    | Updated by user ID                       | number          | contactinformation
hs_user_ids_of_all_notification_follower | User IDs of all notification followers   | enumeration     | contactinformation
hs_user_ids_of_all_notification_unfollow | User IDs of all notification unfollowers | enumeration     | contactinformation
hs_user_ids_of_all_owners                | User IDs of all owners                   | enumeration     | contactinformation
hs_v2_cumulative_time_in_122340279       | Cumulative time in "Otros (Pipeline de e | number          | contactlcs
hs_v2_cumulative_time_in_139767057       | Cumulative time in "Promotor inmobiliari | number          | contactlcs
hs_v2_cumulative_time_in_70679883        | Cumulative time in "Lead de ventas (Pipe | number          | contactlcs
hs_v2_cumulative_time_in_70680909        | Cumulative time in "Prospecto (Pipeline  | number          | contactlcs
hs_v2_cumulative_time_in_70680910        | Cumulative time in "Lead (Pipeline de et | number          | contactlcs
hs_v2_cumulative_time_in_70713679        | Cumulative time in "Lead calificado (Pip | number          | contactlcs
hs_v2_cumulative_time_in_81340338        | Cumulative time in "Clientes (Pipeline d | number          | contactlcs
hs_v2_date_entered_122340279             | Date entered "Otros (Pipeline de etapa d | datetime        | contactlcs
hs_v2_date_entered_139767057             | Date entered "Promotor inmobiliario (Pip | datetime        | contactlcs
hs_v2_date_entered_70679883              | Date entered "Lead de ventas (Pipeline d | datetime        | contactlcs
hs_v2_date_entered_70680909              | Date entered "Prospecto (Pipeline de eta | datetime        | contactlcs
hs_v2_date_entered_70680910              | Date entered "Lead (Pipeline de etapa de | datetime        | contactlcs
hs_v2_date_entered_70713679              | Date entered "Lead calificado (Pipeline  | datetime        | contactlcs
hs_v2_date_entered_81340338              | Date entered "Clientes (Pipeline de etap | datetime        | contactlcs
hs_v2_date_exited_122340279              | Date exited "Otros (Pipeline de etapa de | datetime        | contactlcs
hs_v2_date_exited_139767057              | Date exited "Promotor inmobiliario (Pipe | datetime        | contactlcs
hs_v2_date_exited_70679883               | Date exited "Lead de ventas (Pipeline de | datetime        | contactlcs
hs_v2_date_exited_70680909               | Date exited "Prospecto (Pipeline de etap | datetime        | contactlcs
hs_v2_date_exited_70680910               | Date exited "Lead (Pipeline de etapa del | datetime        | contactlcs
hs_v2_date_exited_70713679               | Date exited "Lead calificado (Pipeline d | datetime        | contactlcs
hs_v2_date_exited_81340338               | Date exited "Clientes (Pipeline de etapa | datetime        | contactlcs
hs_v2_latest_time_in_122340279           | Latest time in "Otros (Pipeline de etapa | number          | contactlcs
hs_v2_latest_time_in_139767057           | Latest time in "Promotor inmobiliario (P | number          | contactlcs
